UserID,Age,Profession,AI_Tool,Hours_Using_AI_Per_Day,Task_Type,Experience_Level,ProductivityScore
1,19,Student,ChatGPT,3,Research,Beginner,70
2,22,Student,ChatGPT,5,Writing,Intermediate,82
3,35,Teacher,Grammarly,2,Editing,Intermediate,75
4,28,Graphic Designer,Midjourney,4,Design,Advanced,88
5,31,Software Developer,Github Copilot,6,Coding,Advanced,92
6,24,Student,ChatGPT,4,Homework,Beginner,78
7,40,Marketing Specialist,Jasper AI,3,Content Creation,Intermediate,80
8,27,Software Developer,Github Copilot,7,Coding,Advanced,94
9,33,Writer,ChatGPT,5,Writing,Intermediate,85
10,29,Researcher,ChatGPT,6,Research,Advanced,90
11,21,Student,Grammarly,2,Editing,Beginner,68
12,36,Graphic Designer,Midjourney,5,Design,Advanced,91
13,42,Teacher,ChatGPT,3,Lesson Planning,Intermediate,79
14,26,Student,ChatGPT,4,Research,Intermediate,83
15,30,Marketing Specialist,Jasper AI,4,Content Creation,Advanced,87
16,23,Student,ChatGPT,3,Homework,Beginner,72
17,38,Software Developer,Github Copilot,6,Coding,Advanced,93
18,34,Writer,Grammarly,3,Editing,Intermediate,81
19,25,Graphic Designer,Midjourney,4,Design,Intermediate,86
20,28,Researcher,ChatGPT,5,Research,Advanced,89
